title;price;description;count
The Witcher 3: Wild Hunt;59.99;The Witcher 3: Wild Hunt is a story-driven, next-generation open world role-playing game set in a visually stunning fantasy universe full of meaningful choices and impactful consequences.;10
Grand Theft Auto V;29.99;Grand Theft Auto V is an open world, action-adventure video game developed by Rockstar North and published by Rockstar Games.;20
Dark Souls III;39.99;Dark Souls III is an action role playing game set in a dark fantasy world. Explore its intricate world design - full of hidden passages, dungeons and secrets - and uncover its deeply rooted lore.;40
Fallout 4;59.99;Fallout 4 is an open world action role playing video game developed by Bethesda Game Studios and published by Bethesda Softworks. Set in the post apocalyptic wasteland of Boston Massachusetts the game follows the story of the Sole Survivor as they explore the ruined cityscape looking for their missing son.;2
The Elder Scrolls V: Skyrim Special Edition;39.99;The Elder Scrolls V Skyrim Special Edition is a remastered version of the award winning RPG set in the epic fantasy world of Tamriel. With improved graphics new features and all of the original content this is the definitive edition of one of the greatest RPGs ever made.;1
Call of Duty®: Black Ops III Zombies Chronicles Edition;49.99;Call of Duty® Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.;324
Destiny 2;59.99;Destiny 2 is an online multiplayer first person shooter video game developed by Bungie and published by Activision.;35
Overwatch® Legendary Edition;39.99;Overwatch Legendary Edition is a team based shooter where heroes do battle in a world of conflict.;33
Call of Duty: Modern Warfare;59.99;Call of Duty: Modern Warfare is a first-person shooter video game developed by Infinity Ward and published by Activision. It is the sixteenth primary installment in the Call of Duty series.;22
Minecraft;19.99;Minecraft is a sandbox video game developed by Mojang Studios. The game was created by Markus Persson in the Java programming language.;44
The Witcher 3;49.99;The Witcher 3 is an action role playing game developed and published by CD Projekt RED.;5
God of War (2018);19.99;God of War (2018) is a third person action adventure video game developed Santa Monica Studio and published Sony Interactive Entertainment.;6
Red Dead Redemption 2;59.99;Red Dead Redemption 2 is an open world western themed action adventure video game developed and published Rockstar Games.;87
Borderlands 3;59.99;Borderlands 3 is a looter shooter video game developed Gearbox Software and published 2K Games.;54
